city,country,population,lat,lon,temperature,windspeed,winddirection,pm25,pm10,no2,o3
Tokyo,Japan,37036200,35.6768601,139.7638947,5.2,11.2,354.0,7.4,7.9,19.2,63.0
Delhi,India,34665600,28.6328027,77.2197713,23.3,3.8,311.0,95.9,97.6,16.9,238.0
Shanghai,China,30482100,31.2323437,121.4691024,10.7,12.0,57.0,12.3,15.3,20.2,69.0
Dhaka,Bangladesh,24652900,23.7643863,90.3890144,25.3,2.9,360.0,36.3,38.4,14.1,173.0
Cairo,Egypt,23074200,30.0443879,31.2357257,16.4,11.2,195.0,14.7,32.0,31.0,33.0
Sao Paulo,Brazil,22990000,-23.5506507,-46.6333824,18.0,2.0,315.0,18.9,19.8,24.4,40.0
Mexico City,Mexico,22752400,19.4326296,-99.1331785,10.2,4.3,246.0,65.9,65.9,89.4,0.0
Beijing,China,22596500,39.9057136,116.3912972,-4.2,3.8,73.0,69.4,71.9,61.6,7.0
Mumbai,India,22089000,19.054999,72.8692035,26.7,4.0,265.0,49.0,49.4,33.2,274.0
Osaka,Japan,18921600,34.6937569,135.5014539,5.6,9.7,360.0,4.4,5.6,6.3,76.0
Chongqing,China,18171200,30.8101669,108.4034084,13.8,5.3,28.0,70.1,71.7,18.2,63.0
Karachi,Pakistan,18076800,24.8546842,67.0207055,25.6,8.7,253.0,21.1,27.5,16.2,123.0
Kinshasa,DR Congo,17778500,-4.32171,15.3122511,26.8,0.8,63.0,42.0,42.6,13.2,57.0
Lagos,Nigeria,17156400,6.4550575,3.3941795,27.8,1.3,236.0,34.8,43.0,13.5,57.0
Istanbul,Turkey,16236700,41.006381,28.9758715,9.4,3.4,122.0,85.8,110.4,74.7,2.0
Kolkata,India,15845200,22.5726459,88.3638953,24.4,6.1,360.0,78.5,83.6,0.9,254.0
Buenos Aires,Argentina,15752300,-34.6095579,-58.3887904,19.2,10.9,287.0,8.2,8.5,15.5,32.0
Manila,Philippines,15230600,14.5904492,120.9803621,29.6,16.8,48.0,9.5,11.3,5.7,91.0
Guangzhou,China,14878700,23.1301964,113.2592945,23.0,5.8,112.0,42.8,43.2,36.4,112.0
Lahore,Pakistan,14825800,31.5656822,74.3141829,22.1,3.6,264.0,102.4,103.4,22.9,262.0
Tianjin,China,14704100,39.0844897,117.1956724,-2.0,9.4,58.0,40.4,41.8,52.7,14.0
Bangalore,India,14395400,12.9767936,77.590082,25.6,10.5,68.0,29.9,31.5,2.7,149.0
Rio de Janeiro,Brazil,13923200,-22.9110137,-43.2093727,23.8,1.8,259.0,20.1,22.3,23.6,47.0
Shenzhen,China,13545400,22.5445741,114.0545429,23.0,12.4,98.0,34.7,35.7,29.3,119.0
Moscow,Russia,12737400,55.7505412,37.6174782,4.4,8.6,268.0,28.3,34.9,64.4,1.0
Chennai,India,12336000,13.0836939,80.270186,28.5,12.6,27.0,38.3,43.5,1.2,154.0
Bogota,Colombia,11795800,4.6533817,-74.0836331,12.8,6.9,84.0,15.5,15.6,16.2,16.0
Jakarta,Indonesia,11634100,-6.1754049,106.827168,30.5,12.6,333.0,33.5,34.3,17.6,144.0
Lima,Peru,11517300,-12.0459808,-77.0305912,19.0,3.7,151.0,9.4,14.6,15.5,28.0
Bangkok,Thailand,11391700,13.7524938,100.4935089,28.6,5.4,4.0,34.5,34.7,11.7,244.0
Paris,France,11346800,48.8588897,2.320041,10.2,9.0,178.0,19.1,22.8,42.1,1.0
Hyderabad,India,11337900,17.360589,78.4740613,27.3,6.8,72.0,21.7,24.4,1.4,172.0
Nanjing,China,10174900,32.0438284,118.7788631,11.1,18.7,79.0,18.0,20.5,24.1,61.0
Luanda,Angola,10027900,-8.8272699,13.2439512,26.5,7.7,169.0,11.8,14.0,5.5,71.0
Seoul,South Korea,10025800,37.5666791,126.9782914,5.1,3.8,49.0,11.8,13.2,44.4,31.0
Chengdu,China,9998870,30.659867,104.063315,14.2,15.3,71.0,51.7,53.0,45.1,40.0
London,United Kingdom,9840740,51.5074456,-0.1277653,10.9,8.0,190.0,6.7,9.8,27.5,21.0
Ho Chi Minh City,Vietnam,9816320,10.7755254,106.7021047,31.9,8.3,90.0,13.1,15.1,8.4,112.0
Tehran,Iran,9729740,35.6892523,51.3896004,9.3,4.6,231.0,27.8,28.6,65.5,18.0
Nagoya,Japan,9534790,35.1851045,136.8998438,5.1,11.3,333.0,3.7,4.7,4.5,76.0
Xi-an,China,9222080,34.261004,108.9423363,6.9,15.1,271.0,27.6,54.1,16.8,50.0
Ahmedabad,India,9061820,23.0215374,72.5800568,29.1,5.8,86.0,15.9,15.9,6.8,152.0
Kuala Lumpur,Malaysia,9000280,3.1516964,101.6942371,32.2,10.8,249.0,36.0,36.7,7.3,212.0
Wuhan,China,8986480,30.5951051,114.2999353,10.6,17.0,5.0,68.9,70.3,36.9,27.0
